month,food_distributed_pounds,unique_clients_served,total_households_served,food_received_pounds,food_discarded_pounds,distribution_capacity_pounds,staff_hours,truck_deliveries,volunteer_hours,pounds_per_client,capacity_utilization
2024-09,3114751,836,280,3867391,43833,7601790,16884,668,9881,3725.8,0.41
2024-10,3864718,863,311,5100786,37753,7698470,17237,687,9848,4478.2,0.502
2024-11,4319653,1005,318,3960342,22806,7667100,17130,659,9862,4298.2,0.563
2024-12,4141976,916,352,4350816,27361,7800730,17378,665,10259,4521.8,0.531
2025-01,3448324,904,330,3885116,24400,7740520,17152,675,10174,3814.5,0.445
2025-02,3385140,899,348,3894263,25386,7727100,17275,682,9949,3765.5,0.438
2025-03,3024367,875,278,3687898,23559,7805230,17388,687,10385,3456.4,0.387
2025-04,3244424,853,273,4109517,46884,7793330,17463,702,10274,3803.5,0.416
2025-05,3314638,756,282,3425782,23359,7779390,17174,697,10439,4384.4,0.426
2025-06,3562419,833,281,3788331,32036,7837250,17325,689,10430,4276.6,0.455
2025-07,3340821,836,272,3885854,54277,7777140,17324,689,10104,3996.2,0.43
2025-08,2701276,797,275,4035964,39308,7769630,17318,669,10209,3389.3,0.348
2025-09,3519866,845,294,4107287,47954,7932370,17702,691,10573,4165.5,0.444
2025-10,3599569,887,332,4065237,27331,7905540,17519,689,10577,4058.1,0.455
2025-11,3804470,1153,449,3893901,26957,7817450,17290,692,10457,3299.6,0.487
2025-12,4183502,1013,323,5011070,27103,7923120,17637,682,10529,4129.8,0.528
